Whole wheat bread,Bakery and Bread
Whole wheat pita pockets,Bakery and Bread
Whole wheat English muffins,Bakery and Bread
Whole-grain flour tortillas,Bakery and Bread
Skinless turkey breasts,Meat and Seafood
Skinless chicken,Meat and Seafood
Ground chicken,Meat and Seafood
Ground turkey,Meat and Seafood
Salmon,Meat and Seafood
Halibut,Meat and Seafood
Trout,Meat and Seafood
Mackerel,Meat and Seafood
Reduced-sodium turkey,Meat and Seafood
Reduced-sodium roast beef,Meat and Seafood
Brown Rice,Pasta and Rice
Whole wheat pasta,Pasta and Rice
Whole grain pasta,Pasta and Rice
Tomato sauce,Sauces
Salsa,Sauces
Hot pepper sauce,Sauces
Mustard,Condiments
Barbecue sauce,Condiments
Jarred capers and olives,Condiments
Red-wine vinegar,Salad Dressings
Extra virgin olive oil,Oils
Extra virgin canola oil cooking spray,Oils
Nonfat cooking spray,Oils
Whole-grain or multigrain cereals,Cereals and Breakfast Foods
Instant oatmeal,Cereals and Breakfast Foods
Steel-cut oatmeal,Cereals and Breakfast Foods
Whole-grain cereal bars,Cereals and Breakfast Foods
Diced tomatoes,Soups and Canned Goods
Whole peeled tomatoes,Soups and Canned Goods
Tuna packed in water,Soups and Canned Goods
Tuna packed in water,Soups and Canned Goods
Low-sodium broths,Soups and Canned Goods
Low-sodium soups,Soups and Canned Goods
Split peas,Soups and Canned Goods
Lentils,Soups and Canned Goods
Kidney beans,Soups and Canned Goods
Black beans,Soups and Canned Goods
Soybeans,Soups and Canned Goods
Garbanzo beans,Soups and Canned Goods
Diced green chilies,Soups and Canned Goods
Frozen carrots (no sauce),Frozen Foods
Frozen peas (no sauce),Frozen Foods
Frozen spinach (no sauce),Frozen Foods
Frozen broccoli (no sauce),Frozen Foods
Frozen blueberries (without added sugar),Frozen Foods
Frozen strawberries (without added sugar),Frozen Foods
Frozen raspberries (without added sugar),Frozen Foods
Frozen shrimp,Frozen Foods
Low-fat ice cream,Frozen Foods
Low-fat frozen yogurt,Frozen Foods
Pre-portioned frozen yogurt,Frozen Foods
Pre-portioned ice cream,Frozen Foods
Whole-grain waffles,Frozen Foods
Whole-grain vegetable pizza,Frozen Foods
Skim milk,Dairy
Low-fat milk,Dairy
Soy milk,Dairy
Fat-free yogurt,Dairy
Low-fat yogurt,Dairy
Butter (a variety that doesn't contain hydrogenated oils),Dairy
Spread (a variety that doesn't contain hydrogenated oils),Dairy
Fat-free cottage cheese,Cheese
Low-fat cottage cheese,Cheese
Low-fat cheese,Cheese
String cheese snacks,Cheese
Eggs,Eggs
Eggs substitutes,Eggs
Firm tofu,Eggs
Whole-grain crackers,Snacks and Crackers
Dried apricots,Snacks and Crackers
Dried figs,Snacks and Crackers
Dried prunes,Snacks and Crackers
Dried raisins,Snacks and Crackers
Dried cranberries,Snacks and Crackers
Almonds,Snacks and Crackers
Cashews,Snacks and Crackers
Walnuts,Snacks and Crackers
Peanuts,Snacks and Crackers
Pecans,Snacks and Crackers
Pistachios,Snacks and Crackers
Sunflower seeds,Snacks and Crackers
Sesame seeds,Snacks and Crackers
Whole flaxseeds,Snacks and Crackers
Ground flaxseeds,Snacks and Crackers
Peanut butter,Snacks and Crackers
Almond butter,Snacks and Crackers
Soy butter,Snacks and Crackers
Hummus,Snacks and Crackers
Dark chocolate pieces,Snacks and Crackers
Bananas,Produce
Apples,Produce
Oranges,Produce
Mangoes,Produce
Strawberries,Produce
Blueberries,Produce
Sweet potatoes,Produce
Baby spinach,Produce
Broccoli,Produce
Carrot sticks,Produce
